target_file,sha256,rows,valid_rows,invalid_rows,nonpositive_error_rows,exact_duplicate_rows,exact_duplicate_fraction,repeated_epoch_rows,repeated_epoch_fraction,conflicting_epoch_rows,reference_count,instrument_count,provenance_confounded,untraceable_rows,rv_full_span,rv_robust_90pct_span,full_to_robust_span_ratio,median_uncertainty,inference_ready
HD_11964_RV.csv,a15ee47e7ca6ff5d45dfd7445ee1d234d7dd62c72fb9bd0fc49ba58fbc3b6d2b,830,830,0,0,0,0.0,379,0.4566265060240964,379,5,1,True,0,21180.0,9422.992389928771,2.2476936331432293,1.10775,False
HD_11977_RV.csv,1227fa374dca15c14850f9168fcc8b4d0767a198620d98cd19f32e55bbea59cd,296,296,0,0,0,0.0,0,0.0,0,0,1,False,0,170.36521633429948,30.457727613949828,5.593497272471212,0.416163591364985,True
HD_121504_RV.csv,b3a3c40f0ef7009dc202191f14a0d6c796fd721eb690f83f3a9996384ebe3181,216,216,0,0,0,0.0,0,0.0,0,2,1,True,0,680.0,149.0547481867252,4.562082109240454,1.4484610194876248,False
HD_126614_RV.csv,7e0475a61ca121c8207caab451ea0ffc3a98de8cc06d0c0ed78adb11223b2d17,203,203,0,0,0,0.0,102,0.5024630541871922,102,3,1,True,0,34330.4,190.27599999999998,180.42422586138034,1.32,False
HD_12661_RV.csv,c101a5fd0a8e5dd0819b29205a51b6ea580767ba3a291accf2460f53c4250f57,721,721,0,0,0,0.0,297,0.4119278779472954,297,7,1,True,0,217.16,173.09,1.25460742966087,2.3419,False
HD_128311_RV.csv,324c0f14b5231700d6bfec16cf3825aadd2e009f929e2522217ac5febe40b232,453,453,0,0,0,0.0,195,0.4304635761589404,195,5,1,True,0,323.95,228.57599999999996,1.4172529049419014,1.7047,False
HD_130322_RV.csv,221aae20152dc432dc9dcb44dd7865d4497ce59a8051ca8667c3879d761a0783,267,267,0,0,0,0.0,38,0.14232209737827714,38,6,1,True,0,12800.4,12696.907,1.0081510402494087,6.8,False
HD_134060_RV.csv,58f7d682a62620d437175a00246705c35811c4e1fc1d67a8d1a6f675e5f6dea8,349,349,0,0,0,0.0,0,0.0,0,1,1,False,0,560.0,12.833384929261229,43.63618819873091,0.537778284803026,False
HD_134606_RV.csv,3e74f94c43db9eca7211f196200042c988d9e33dd3cc693977c9272c6b2bcddf,293,293,0,0,0,0.0,0,0.0,0,1,1,False,0,210.0,13.315629931697913,15.770939946302812,0.474475768042535,True
HD_134987_RV.csv,f21261fac03f82a3f4b88e5c4b3590a46314a15953ae8a63f24316d4b757a1f8,562,562,0,0,0,0.0,210,0.3736654804270463,210,7,1,True,0,5171.8,5122.475305957034,1.0096290740505094,1.2144,False
HD_136118_RV.csv,01a420cc36c186f740d0ef9ee9d9f9d26c3f7933f018495acccfc39e2e9ae1d8,271,271,0,0,0,0.0,6,0.02214022140221402,6,5,1,True,0,986.8199999999999,730.6899999999999,1.3505316892252528,9.1,False
HD_136352_RV.csv,f88a7c34d1d92e95bb3846f4ed92c981feeec5c094bfd4f9668bd4dea310497a,1086,1086,0,0,0,0.0,62,0.0570902394106814,62,3,1,True,0,82892.3238718614,68747.93140548131,1.2057428082156425,0.42496163208882254,False
HD_13724_RV.csv,c257fc4690f52014d5b45e2d260c38d0b9e8801fd855dbc45aa4d4bfd6ac1137,318,318,0,0,0,0.0,0,0.0,0,1,1,False,0,659.8685939509996,299.8884365878257,2.2003802529336594,3.85274888977446,True
HD_137496_RV.csv,3a3f056595368a7a508f3ade63f282b8b26cc5745bfaae620adc72823dc31fd9,203,203,0,0,0,0.0,0,0.0,0,0,1,False,0,100302930.02530959,99977066.84930539,1.0032593792383944,2.22083756847028,True
HD_13808_RV.csv,6a2362ec011d510061516b83b3a1f3cca28b803a3153e71d907b049033929b3a,255,255,0,0,0,0.0,0,0.0,0,1,1,False,0,484.3214712205008,13.734705861876137,35.26260235137961,0.6473119148258369,False
HD_141004_RV.csv,793f53af9c3cac2e9338a1461e7f45ecb4edfc7be2a9d7bb3c5f2913f2403240,2017,2017,0,0,0,0.0,806,0.3996033713435796,806,4,1,True,0,66466.06042297359,25.989999999999988,2557.370543400293,1.5859,False
HD_141399_RV.csv,cedbcdc32326f8eb07806aaf21d987d2e45d00c577e6f9769a9eff82c524ae40,839,839,0,0,0,0.0,14,0.0166865315852205,14,5,1,True,0,27125.62,21924.946,1.2372035032606237,1.212,False
HD_145934_RV.csv,5bbc85b570d070c8e58800a627ada6421a1199c4d697ff8d5c1fc6180efe0d9f,296,296,0,0,0,0.0,207,0.6993243243243243,207,3,1,True,0,447.49,333.59999999999997,1.341396882494005,1.16,False
HD_1461_RV.csv,086bd0d78ca093b44059c4ee01b6603c735b109456edce7db34902dcbd072e19,2453,2453,0,0,0,0.0,693,0.2825112107623318,693,4,1,True,0,10401.32,10071.9218814319,1.032704594261733,0.9626,False
HD_147379_RV.csv,dd5e79f29142a6f0740a85487a5ccc9bca934c25aefff510ce7845c8565ae3b5,298,298,0,0,0,0.0,290,0.9731543624161074,290,3,1,True,0,721.0900000000001,416.7824999999975,1.7301350224637657,2.64,False
HD_150706_RV.csv,ec8b442bbad022c0dd2ec51e4787820b97ed528a5c8435a368bd6d44594b5cab,203,203,0,0,0,0.0,36,0.17733990147783252,36,5,1,True,0,17315.059999999998,17272.170000000002,1.0024831853785596,1.69,False
HD_15337_RV.csv,745bc93972c706b52211d65b98cecc434a791bf442e3f2a1bff92683a2719e31,248,248,0,0,0,0.0,0,0.0,0,1,1,False,0,768.7036033406498,32.946904172843915,23.331588282405132,0.579677101231176,False
