target,file,file_name,rows,archives,instruments,bjd_min,bjd_max,rv_min,rv_max,has_activity,relative_file
UID_0047202_RVC_005.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0047202_RVC_005.tbl_RV.csv,UID_0047202_RVC_005.tbl_RV.csv,257,NASA_RADIAL,UID_0047202_RVC_005,2451262.618,2452717.6163,28955.0,29098.0,False,data/UID_0047202_RVC_005.tbl_RV.csv
UID_0113357_RVC_001.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0113357_RVC_001.tbl_RV.csv,UID_0113357_RVC_001.tbl_RV.csv,256,NASA_RADIAL,UID_0113357_RVC_001,2450002.665695,2452189.707882,-73.1,70.4,False,data/UID_0113357_RVC_001.tbl_RV.csv
HD 13808,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_13808_RV.csv,HD_13808_RV.csv,255,DACE_PUBLIC,DACE,2449732.619,2457423.55388822,40610.0,41094.3214712205,False,data/HD_13808_RV.csv
HD 93385,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_93385_RV.csv,HD_93385_RV.csv,255,DACE_PUBLIC,DACE,2447188.813,2457883.58004607,47360.0,47740.0,False,data/HD_93385_RV.csv
HD 108147,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_108147_RV.csv,HD_108147_RV.csv,254,DACE_PUBLIC,DACE,2448373.74,2458668.54707025,-5720.0,44.0,False,data/HD_108147_RV.csv
HD 179949,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_179949_RV.csv,HD_179949_RV.csv,253,DACE_PUBLIC,DACE,2447727.683,2458714.74715,-24990.0,127.1,False,data/HD_179949_RV.csv
HD 177565,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_177565_RV.csv,HD_177565_RV.csv,252,DACE_PUBLIC,DACE,2446284.656,2459439.71005742,56418.3791065538,100012723.369393,False,data/HD_177565_RV.csv
UID_0043587_RVC_002.tbl,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/UID_0043587_RVC_002.tbl_RV.csv,UID_0043587_RVC_002.tbl_RV.csv,250,NASA_RADIAL,UID_0043587_RVC_002,7578.73,14220.757,-121.41,151.54,False,data/UID_0043587_RVC_002.tbl_RV.csv
HD 222582,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_222582_RV.csv,HD_222582_RV.csv,250,DACE_PUBLIC,DACE,2446321.53,2458662.13249,-170.59,12230.0,False,data/HD_222582_RV.csv
HD 17156,/content/drive/MyDrive/Jana_RV_Archive_1GB/merged_rv_archive/per_target/HD_17156_RV.csv,HD_17156_RV.csv,250,DACE_PUBLIC,DACE,2453629.6456,2456911.07857,-8010.27,261.56,False,data/HD_17156_RV.csv
